7:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
18:1,30415,44870,83280,94813,79150,75219,99168,106354,103523
19:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
36:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
37:17,518,616,542,58,8,15,654,61,302
41:7,2,6,4,5,1,3,8,30415,44870
42:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
43:1,30415,44870,83280,94813,79150,75219,99168,106354,103523
44:17,1405,564,58,70,654,8,508,616,736
45:17,8,302,2162,899,94,61,616,654,58
46:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
59:17,616,654,302,58,8,518,84,542,15
60:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
69:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
70:17,616,654,302,58,8,542,15,32,518
94:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
106:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
115:17,616,302,58,650,76,654,224,564,81
116:1,4,3,2,7,6,5,30415,44870,83280
142:17,616,58,302,542,245,15,61,8,1126
143:81,780,3423,1749,616,3374,58,2241,140,17
148:616,17,8,162,787,542,518,302,508,58
150:1,4,3,2,30415,44870,83280,94813,79150,75219
156:224,32,1987,616,15,302,364,194,1196,103
161:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
171:17,654,58,616,302,542,8,1535,518,554
172:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
174:17,654,32,301,616,103,61,1535,1405,787
177:17,58,654,616,302,15,8,650,6,542
196:616,17,302,58,654,542,518,8,32,61
202:17,616,542,518,654,8,302,58,15,32
211:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
217:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
220:17,616,302,58,654,8,15,32,542,322
223:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
224:17,302,654,616,58,542,15,8,518,61
225:17,518,8,616,542,245,84,61,15,508
228:1,30415,44870,83280,94813,79150,75219,99168,106354,103523
229:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
231:17,616,654,302,58,650,8,70,787,245
232:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
238:3,2,1,30415,44870,83280,94813,79150,75219,99168
241:1,2,3,30415,44870,83280,94813,79150,75219,99168
245:17,302,654,616,58,542,8,15,1410,650
249:17,654,302,616,58,162,29,650,1140,394
250:8,2,7,6,3,4,5,1,9,30415
253:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
257:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
272:17,15,616,787,245,518,32,58,654,8
273:616,302,861,238,162,45,542,564,650,654
288:616,17,245,32,58,654,564,518,15,508
290:1023,81,17,616,564,654,29,245,15,542
291:17,616,654,302,58,542,8,518,15,61
292:168,5480,984,17,8860,719,616,654,302,542
294:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
328:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
331:1,30415,44870,83280,94813,79150,75219,99168,106354,103523
345:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
361:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
376:245,616,654,15,23667,542,2935,902,1405,32
384:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
401:3,6,1,4,2,5,30415,44870,83280,94813
402:840,3196,10541,2548,27070,5111,3651,27094,197,157
410:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
448:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
449:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
450:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
452:1,30415,44870,83280,94813,79150,75219,99168,106354,103523
476:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
488:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
490:654,17,302,616,58,84,650,542,29,138
494:302,58,17,654,616,29,8,650,1140,224
500:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
514:17,616,542,302,654,58,518,32,364,1405
525:17,302,616,654,58,8,84,542,518,29
535:168,984,5480,1326,719,8860,463,17,1400,135
536:58,654,17,302,542,616,650,518,564,364
538:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
539:6,8,1,7,5,4,3,2,9,30415
564:302,58,17,616,518,654,1102,61,508,22
582:1,30415,44870,83280,94813,79150,75219,99168,106354,103523
585:17,518,616,58,8,302,654,902,1102,84
590:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
601:1,2,3,30415,44870,83280,94813,79150,75219,99168
618:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
624:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
627:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
628:899,17,1187,48,2162,302,1119,8,891,84
632:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
633:1,2,30415,44870,83280,94813,79150,75219,99168,106354
634:616,17,58,654,15,302,162,861,650,542
646:17,616,302,654,58,542,15,650,518,32
666:361,866,302,654,254,546,17,58,358,616
667:17,70,302,616,654,542,508,1023,15,138
669:17,616,302,58,654,542,15,650,32,518
678:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
680:17,616,70,542,8,1023,58,654,302,508
681:17,616,302,654,58,542,8,15,518,32
682:17,302,616,8,654,518,508,363,787,15
683:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
684:3,6,2,1,5,4,30415,44870,83280,94813
715:17,654,616,58,302,510,29,944,650,3234
716:30415,44870,83280,94813,79150,75219,99168,106354,103523,43559
741:1,30415,44870,83280,94813,79150,75219,99168,106354,103523
